BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,VillageName,Gender,CurrentLevel,RecommendedLevel,TotalStudentProfileEntered,Building,BuildingCondition,ElectricityInSchool,Latitude,Longitude,NearbyHigherSchools,NearbySameLevelSchools,UpgradeReason,SearchRadius_km,AnalysisDate
4010,GBPS ABDUL HAMEED DUMAR,ZIARAT,SINJAVI,Sinawi,REGORAH,KILLI ABDUL HAMEED,Boys,Primary,Middle,135,Yes,Satisfactory ,No,68.1852685319498,30.3054993094854,0,5,"No Middle school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:26
15574,GBPS KILLI GHUNZA SINJAVI,ZIARAT,SINJAVI,Sinjawi,SADDAR SAMLAN,KILLI GHUNZA SINJAVI,Boys,Primary,Middle,36,Yes,Need Repair,No,67.9130204172486,30.4465144979269,0,0,"No Middle school within 10.0km, only Primary school in area",10.0,2025-07-29 15:41:27
13335,GBMIDS MADRESA FAROOQIA KANEBI AUGHBRARG,ZIARAT,SINJAVI,SINJAWI,POI,KANEBI AUGHBRARG,Boys,Middle,High,65,Yes,Satisfactory ,No,68.4685670595316,30.3686084791677,0,1,"No High school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
1033,GGHS ZIARAT,ZIARAT,ZIARAT,Ziarat,ZIARAT,ZIARAT,Girls,High,Higher Secondary,503,Yes,Satisfactory ,Yes,67.7234632169188,30.3843314947686,0,8,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
1072,GBHS MANNA,ZIARAT,ZIARAT,ZIARAT,MANNA , MANNA,Boys,High,Higher Secondary,377,Yes,Need Repair,Yes,67.7416928324172,30.4673628424048,0,6,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
1073,GGHS ZARGI KILLI ABDULLAH JAN,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,ZARGI,Girls,High,Higher Secondary,333,Yes,Need Repair,Yes,67.6962602314296,30.4924891395617,0,10,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
1075,GBHS SPAZUNDI,ZIARAT,ZIARAT,ZIARAT,SPAZANDI ,SPAZANDI ,Boys,High,Higher Secondary,305,Yes,Need Repair,No,67.667685038328,30.5222495787251,0,9,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
4130,GBHS POI SHARIF,ZIARAT,SINJAVI,Sinjawi,POI,POI SHARIF,Boys,High,Higher Secondary,254,Yes,Need Repair,Yes,68.0791715701525,30.3476628477131,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 15:41:27
1003,GBHS MASORY MANA,ZIARAT,ZIARAT,ZIARAT ,MANNA ,MASORY MANA,Boys,High,Higher Secondary,231,Yes,Need Repair,No,67.7310796967627,30.4691457626936,0,8,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:27
4134,GBHS TANDWANI,ZIARAT,SINJAVI,Sinjawi,CHOUTAIR,TANDWANI,Boys,High,Higher Secondary,164,Yes,Need Repair,No,67.9709395717173,30.3480431612378,0,0,"No Higher Secondary school within 10.0km, only High school in area",10.0,2025-07-29 15:41:27
1356,GGHS BALOZAI,PISHIN,KAREZAT,NIL,BALOZAI,BALOZAI,Girls,High,Higher Secondary,511,Yes,Need Repair,Yes,67.3402483333333,30.63915,0,12,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:29
1288,GGHS SHARON,PISHIN,KAREZAT,KAREZAT,DILSORA/ CHURMIAN,SHARAN,Girls,High,Higher Secondary,466,Yes,Need Repair,Yes,67.3340966666666,30.66087,0,13,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:29
1232,GGHS HURAMZAI,PISHIN,HURAMZAI,HURAMZAI,M.C. HURAMZAI,KILLI HURAMZAI,Girls,High,Higher Secondary,426,Yes,Satisfactory ,Yes,66.8401598499999,30.7252998166666,0,7,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:29
10030,GGHS CHURMIAN,PISHIN,KAREZAT,NIL,DILSORA/ CHURMIAN,CHURMIAN,Girls,High,Higher Secondary,401,Yes,Satisfactory ,Yes,67.4578349999999,30.7245833333333,0,8,"No Higher Secondary school within 10.0km, highest enrollment in area",10.0,2025-07-29 15:41:29
